DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,763,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc1,100,m,z,555,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,873,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,767,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,636,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,842,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,756,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,794,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,693,100,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,664,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,683,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,697,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,934,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,940,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,759,100,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,727,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,682,100,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,719,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,675,0,3,z,m
