TASK_NUMBER,ExperimentName,Subject,CueDur[Trial],RespTARGET.RT[Trial],CORRECT_NUMBER,SOA[Trial],DURATION,CORRECT_RESP
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,350,650,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,5,350,650,m,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,350,650,z,0,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,150,650,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,9,300,650,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,8,100,650,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,10,350,650,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,12,350,650,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,19,100,650,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,19,150,650,z,0,SHORT,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,19,300,650,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,300,650,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,22,100,650,m,0,SHORT,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,27,300,650,z,0,LONG,1
DUAL_TASK,Exp1_DualTask_ToTi_Subj9-16,28,300,650,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,350,650,m,0,LONG,1
DUAL_TASK,Exp1_DualTask_TiTo_Subj1-8,32,100,650,z,0,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,20,100,650,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,20,150,650,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,300,650,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,3,150,650,z,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_TiTo_Subj17-24,4,100,650,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,300,650,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,100,650,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,300,650,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,300,650,m,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,17,350,650,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,650,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,25,350,650,z,100,LONG,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,6,100,650,m,100,SHORT,1
SINGLE_TASK,Exp1_SingleTask_ToTi_Subj24-32,7,100,650,m,100,SHORT,1
